R_angstrom,method,orbital_index,occupation
1.9,cipsi,12,0.00413788
1.9,cipsi,13,0.00383504
1.9,cipsi,14,0.00335216
1.9,cipsi,15,0.00083739
2.0,ref,0,1.98282192
2.0,ref,1,1.93810922
2.0,ref,2,1.80924682
2.0,ref,3,1.50851886
2.0,ref,4,0.97396365
2.0,ref,5,0.48592899
2.0,ref,6,0.18643516
2.0,ref,7,0.06572632
2.0,ref,8,0.01129895
2.0,ref,9,0.00868179
2.0,ref,10,0.00826481
2.0,ref,11,0.00656083
2.0,ref,12,0.00567925
2.0,ref,13,0.00439879
2.0,ref,14,0.00359311
2.0,ref,15,0.00077153
2.0,ext,0,1.98305328
2.0,ext,1,1.93926493
2.0,ext,2,1.81091643
2.0,ext,3,1.51278817
2.0,ext,4,0.97470954
2.0,ext,5,0.48160041
2.0,ext,6,0.18481121
2.0,ext,7,0.06431346
2.0,ext,8,0.01110722
2.0,ext,9,0.00851278
2.0,ext,10,0.00812577
2.0,ext,11,0.00648015
2.0,ext,12,0.00565268
2.0,ext,13,0.00430846
2.0,ext,14,0.00357745
2.0,ext,15,0.00077805
2.0,cipsi,0,1.98303506
2.0,cipsi,1,1.93862136
2.0,cipsi,2,1.80981632
2.0,cipsi,3,1.50915691
2.0,cipsi,4,0.97394390
2.0,cipsi,5,0.48532660
2.0,cipsi,6,0.18589391
2.0,cipsi,7,0.06549468
2.0,cipsi,8,0.01116609
2.0,cipsi,9,0.00856046
2.0,cipsi,10,0.00816912
2.0,cipsi,11,0.00647190
2.0,cipsi,12,0.00564276
2.0,cipsi,13,0.00435648
2.0,cipsi,14,0.00357725
2.0,cipsi,15,0.00076720
2.1,ref,0,1.98410315
2.1,ref,1,1.93797594
2.1,ref,2,1.75156130
2.1,ref,3,1.41095577
2.1,ref,4,0.98163529
2.1,ref,5,0.58211697
2.1,ref,6,0.24419898
2.1,ref,7,0.05778240
2.1,ref,8,0.01122003
2.1,ref,9,0.00849465
2.1,ref,10,0.00831170
2.1,ref,11,0.00650708
2.1,ref,12,0.00595769
2.1,ref,13,0.00465933
2.1,ref,14,0.00386137
2.1,ref,15,0.00065835
2.1,ext,0,1.98458998
2.1,ext,1,1.94077329
2.1,ext,2,1.75298023
2.1,ext,3,1.40464585
2.1,ext,4,0.98665700
2.1,ext,5,0.58843011
2.1,ext,6,0.24292119
2.1,ext,7,0.05009877
2.1,ext,8,0.01104850
2.1,ext,9,0.00834296
2.1,ext,10,0.00824667
2.1,ext,11,0.00631146
2.1,ext,12,0.00586738
2.1,ext,13,0.00465057
2.1,ext,14,0.00385292
2.1,ext,15,0.00058312
2.1,cipsi,0,1.98429609
2.1,cipsi,1,1.93855044
2.1,cipsi,2,1.75203910
2.1,cipsi,3,1.41147467
2.1,cipsi,4,0.98162353
2.1,cipsi,5,0.58161278
2.1,cipsi,6,0.24376275
2.1,cipsi,7,0.05739780
2.1,cipsi,8,0.01112462
2.1,cipsi,9,0.00840187
2.1,cipsi,10,0.00824986
2.1,cipsi,11,0.00642037
2.1,cipsi,12,0.00592430
2.1,cipsi,13,0.00462273
2.1,cipsi,14,0.00384130
2.1,cipsi,15,0.00065778
2.2,ref,0,1.98503629
2.2,ref,1,1.93840270
2.2,ref,2,1.68299634
2.2,ref,3,1.32335537
2.2,ref,4,0.98756018
2.2,ref,5,0.66880473
2.2,ref,6,0.31261080
2.2,ref,7,0.05151838
2.2,ref,8,0.01116969
2.2,ref,9,0.00837527
2.2,ref,10,0.00819911
2.2,ref,11,0.00633748
2.2,ref,12,0.00620826
2.2,ref,13,0.00483144
2.2,ref,14,0.00404121
2.2,ref,15,0.00055275
2.2,ext,0,1.98541940
2.2,ext,1,1.94147327
2.2,ext,2,1.68431773
2.2,ext,3,1.31639079
2.2,ext,4,0.99056371
2.2,ext,5,0.67579429
2.2,ext,6,0.31143771
2.2,ext,7,0.04573856
2.2,ext,8,0.01100580
2.2,ext,9,0.00830120
2.2,ext,10,0.00807298
2.2,ext,11,0.00610296
2.2,ext,12,0.00602483
2.2,ext,13,0.00480462
2.2,ext,14,0.00404070
2.2,ext,15,0.00051145
2.2,cipsi,0,1.98519759
2.2,cipsi,1,1.93878611
2.2,cipsi,2,1.68315955
2.2,cipsi,3,1.32399443
2.2,cipsi,4,0.98759167
2.2,cipsi,5,0.66819212
2.2,cipsi,6,0.31247388
2.2,cipsi,7,0.05126651
2.2,cipsi,8,0.01108679
2.2,cipsi,9,0.00832893
2.2,cipsi,10,0.00811434
2.2,cipsi,11,0.00627786
2.2,cipsi,12,0.00617640
2.2,cipsi,13,0.00479053
2.2,cipsi,14,0.00401367
2.2,cipsi,15,0.00054960
2.3,ref,0,1.98525814
2.3,ref,1,1.93886294
2.3,ref,2,1.61167618
2.3,ref,3,1.25165927
2.3,ref,4,0.99110966
2.3,ref,5,0.73986722
2.3,ref,6,0.38364780
2.3,ref,7,0.04793967
2.3,ref,8,0.01135768
2.3,ref,9,0.00845858
2.3,ref,10,0.00790857
2.3,ref,11,0.00646495
2.3,ref,12,0.00620755
2.3,ref,13,0.00498590
2.3,ref,14,0.00412835
2.3,ref,15,0.00046754
2.3,ext,0,1.98568829
2.3,ext,1,1.94000110
2.3,ext,2,1.61562291
2.3,ext,3,1.25029033
2.3,ext,4,0.99073530
2.3,ext,5,0.74155990
2.3,ext,6,0.37991987
2.3,ext,7,0.04733062
