R_angstrom,method,orbital_index,occupation
1.55,ref,4,1.76507955
1.55,ref,5,0.23369245
1.55,ref,6,0.23369245
1.55,ref,7,0.08043936
1.55,ref,8,0.01171273
1.55,ref,9,0.00874255
1.55,ref,10,0.00762019
1.55,ref,11,0.00762019
1.55,ref,12,0.00537225
1.55,ref,13,0.00287554
1.55,ref,14,0.00287554
1.55,ref,15,0.00154628
1.55,ext,0,1.98251517
1.55,ext,1,1.97252838
1.55,ext,2,1.91861548
1.55,ext,3,1.76508187
1.55,ext,4,1.76508161
1.55,ext,5,0.23368935
1.55,ext,6,0.23368901
1.55,ext,7,0.08043777
1.55,ext,8,0.01171183
1.55,ext,9,0.00874204
1.55,ext,10,0.00761972
1.55,ext,11,0.00761969
1.55,ext,12,0.00537182
1.55,ext,13,0.00287504
1.55,ext,14,0.00287502
1.55,ext,15,0.00154619
1.55,cipsi,0,1.98259289
1.55,cipsi,1,1.97262575
1.55,cipsi,2,1.91873609
1.55,cipsi,3,1.76527076
1.55,cipsi,4,1.76526208
1.55,cipsi,5,0.23350710
1.55,cipsi,6,0.23349887
1.55,cipsi,7,0.08031210
1.55,cipsi,8,0.01167279
1.55,cipsi,9,0.00870877
1.55,cipsi,10,0.00759303
1.55,cipsi,11,0.00759169
1.55,cipsi,12,0.00535687
1.55,cipsi,13,0.00286464
1.55,cipsi,14,0.00286413
1.55,cipsi,15,0.00154245
1.6,ref,0,1.98257175
1.6,ref,1,1.97303205
1.6,ref,2,1.90674497
1.6,ref,3,1.72918208
1.6,ref,4,1.72918208
1.6,ref,5,0.26882535
1.6,ref,6,0.26882535
1.6,ref,7,0.09243259
1.6,ref,8,0.01170866
1.6,ref,9,0.00868797
1.6,ref,10,0.00778845
1.6,ref,11,0.00778845
1.6,ref,12,0.00535260
1.6,ref,13,0.00310233
1.6,ref,14,0.00310233
1.6,ref,15,0.00167297
1.6,ext,0,1.98257528
1.6,ext,1,1.97303632
1.6,ext,2,1.90675296
1.6,ext,3,1.72919749
1.6,ext,4,1.72919592
1.6,ext,5,0.26881378
1.6,ext,6,0.26881196
1.6,ext,7,0.09242939
1.6,ext,8,0.01170562
1.6,ext,9,0.00868609
1.6,ext,10,0.00778476
1.6,ext,11,0.00778448
1.6,ext,12,0.00534994
1.6,ext,13,0.00310161
1.6,ext,14,0.00310160
1.6,ext,15,0.00167284
1.6,cipsi,0,1.98266236
1.6,cipsi,1,1.97315742
1.6,cipsi,2,1.90693049
1.6,cipsi,3,1.72943598
1.6,cipsi,4,1.72943483
1.6,cipsi,5,0.26857075
1.6,cipsi,6,0.26856823
1.6,cipsi,7,0.09224986
1.6,cipsi,8,0.01165830
1.6,cipsi,9,0.00864799
1.6,cipsi,10,0.00775372
1.6,cipsi,11,0.00775221
1.6,cipsi,12,0.00533010
1.6,cipsi,13,0.00309056
1.6,cipsi,14,0.00309016
1.6,cipsi,15,0.00166703
1.7,ref,0,1.98308359
1.7,ref,1,1.97432835
1.7,ref,2,1.87587862
1.7,ref,3,1.64256046
1.7,ref,4,1.64256046
1.7,ref,5,0.35370030
1.7,ref,6,0.35370030
1.7,ref,7,0.12324725
1.7,ref,8,0.01175465
1.7,ref,9,0.00861689
1.7,ref,10,0.00805407
1.7,ref,11,0.00805407
1.7,ref,12,0.00538770
1.7,ref,13,0.00356670
1.7,ref,14,0.00356670
1.7,ref,15,0.00193989
1.7,ext,0,1.98308823
1.7,ext,1,1.97433443
1.7,ext,2,1.87589133
1.7,ext,3,1.64257579
1.7,ext,4,1.64257446
1.7,ext,5,0.35368937
1.7,ext,6,0.35368800
1.7,ext,7,0.12324071
1.7,ext,8,0.01175073
1.7,ext,9,0.00861411
1.7,ext,10,0.00804905
1.7,ext,11,0.00804902
1.7,ext,12,0.00538409
1.7,ext,13,0.00356571
1.7,ext,14,0.00356564
1.7,ext,15,0.00193935
1.7,cipsi,0,1.98317104
1.7,cipsi,1,1.97444548
1.7,cipsi,2,1.87617439
1.7,cipsi,3,1.64291577
1.7,cipsi,4,1.64291174
1.7,cipsi,5,0.35335671
1.7,cipsi,6,0.35335400
1.7,cipsi,7,0.12295943
1.7,cipsi,8,0.01170638
1.7,cipsi,9,0.00856998
1.7,cipsi,10,0.00801773
1.7,cipsi,11,0.00801724
1.7,cipsi,12,0.00536482
1.7,cipsi,13,0.00355197
1.7,cipsi,14,0.00355159
1.7,cipsi,15,0.00193175
1.8,ref,0,1.98395364
1.8,ref,1,1.97579019
1.8,ref,2,1.83130533
1.8,ref,3,1.53947106
1.8,ref,4,1.53947106
1.8,ref,5,0.45500584
1.8,ref,6,0.45500584
1.8,ref,7,0.16738512
1.8,ref,8,0.01189227
1.8,ref,9,0.00860003
1.8,ref,10,0.00816358
1.8,ref,11,0.00816358
1.8,ref,12,0.00555389
1.8,ref,13,0.00400171
1.8,ref,14,0.00400171
1.8,ref,15,0.00223514
1.8,ext,0,1.98395726
1.8,ext,1,1.97579618
1.8,ext,2,1.83132075
1.8,ext,3,1.53949100
1.8,ext,4,1.53948825
1.8,ext,5,0.45498941
1.8,ext,6,0.45498602
1.8,ext,7,0.16737417
