R_angstrom,method,orbital_index,occupation
1.1,cipsi,14,0.00083641
1.1,cipsi,15,0.00072315
1.1,cipsi,16,0.00055452
1.1,cipsi,17,0.00007791
1.15,ref,0,1.98141821
1.15,ref,1,1.97345252
1.15,ref,2,1.94322614
1.15,ref,3,0.99353428
1.15,ref,4,0.04979081
1.15,ref,5,0.01741014
1.15,ref,6,0.00938864
1.15,ref,7,0.00767567
1.15,ref,8,0.00480225
1.15,ref,9,0.00425841
1.15,ref,10,0.00374089
1.15,ref,11,0.00373322
1.15,ref,12,0.00356612
1.15,ref,13,0.00176149
1.15,ref,14,0.00088728
1.15,ref,15,0.00071897
1.15,ref,16,0.00055183
1.15,ref,17,0.00008314
1.15,ext,0,1.98142418
1.15,ext,1,1.97346149
1.15,ext,2,1.94327019
1.15,ext,3,0.99353907
1.15,ext,4,0.04974812
1.15,ext,5,0.01740569
1.15,ext,6,0.00938640
1.15,ext,7,0.00767375
1.15,ext,8,0.00480001
1.15,ext,9,0.00425466
1.15,ext,10,0.00374092
1.15,ext,11,0.00373197
1.15,ext,12,0.00356188
1.15,ext,13,0.00176070
1.15,ext,14,0.00088658
1.15,ext,15,0.00071946
1.15,ext,16,0.00055180
1.15,ext,17,0.00008311
1.15,cipsi,0,1.98146904
1.15,cipsi,1,1.97349517
1.15,cipsi,2,1.94328783
1.15,cipsi,3,0.99355167
1.15,cipsi,4,0.04975769
1.15,cipsi,5,0.01738270
1.15,cipsi,6,0.00937514
1.15,cipsi,7,0.00765717
1.15,cipsi,8,0.00479172
1.15,cipsi,9,0.00424016
1.15,cipsi,10,0.00373481
1.15,cipsi,11,0.00371465
1.15,cipsi,12,0.00354835
1.15,cipsi,13,0.00175832
1.15,cipsi,14,0.00088687
1.15,cipsi,15,0.00071475
1.15,cipsi,16,0.00054959
1.15,cipsi,17,0.00008437
1.2,ref,0,1.98127727
1.2,ref,1,1.97337244
1.2,ref,2,1.93528251
1.2,ref,3,0.99350504
1.2,ref,4,0.05799360
1.2,ref,5,0.01749637
1.2,ref,6,0.00931434
1.2,ref,7,0.00768255
1.2,ref,8,0.00472117
1.2,ref,9,0.00416951
1.2,ref,10,0.00373150
1.2,ref,11,0.00372256
1.2,ref,12,0.00347820
