twist_angle_deg,n_configs,cumulative_weight
40.0,691,99.9989883579
40.0,721,99.9991049022
40.0,751,99.9992072148
40.0,781,99.9992962414
40.0,811,99.9993725980
40.0,841,99.9994393730
40.0,871,99.9994962686
40.0,901,99.9995469278
40.0,931,99.9995931731
40.0,961,99.9996344377
40.0,991,99.9996707436
40.0,1021,99.9997032467
40.0,1051,99.9997326990
40.0,1081,99.9997595777
40.0,1111,99.9997842119
40.0,1141,99.9998064514
40.0,1171,99.9998266746
40.0,1201,99.9998449781
40.0,1231,99.9998613179
40.0,1261,99.9998760155
40.0,1291,99.9998893242
40.0,1321,99.9999014182
40.0,1351,99.9999119360
40.0,1381,99.9999212073
40.0,1411,99.9999296303
40.0,1441,99.9999371859
40.0,1471,99.9999439337
40.0,1501,99.9999501289
40.0,1531,99.9999557711
40.0,1561,99.9999608492
40.0,1591,99.9999652891
40.0,1621,99.9999691926
40.0,1651,99.9999726358
40.0,1681,99.9999757484
40.0,1711,99.9999784643
40.0,1741,99.9999808662
40.0,1771,99.9999830587
40.0,1801,99.9999849967
40.0,1831,99.9999867065
40.0,1861,99.9999882432
40.0,1891,99.9999896047
40.0,1921,99.9999908325
40.0,1951,99.9999919238
40.0,1981,99.9999928746
40.0,2011,99.9999937341
40.0,2041,99.9999945031
40.0,2071,99.9999952021
40.0,2101,99.9999958267
40.0,2131,99.9999963831
40.0,2161,99.9999968761
40.0,2191,99.9999972943
40.0,2221,99.9999976641
40.0,2251,99.9999979860
40.0,2281,99.9999982646
40.0,2311,99.9999985151
40.0,2341,99.9999987397
40.0,2371,99.9999989376
40.0,2401,99.9999991092
40.0,2431,99.9999992554
40.0,2461,99.9999993810
40.0,2491,99.9999994885
40.0,2521,99.9999995782
40.0,2551,99.9999996561
40.0,2581,99.9999997234
40.0,2611,99.9999997816
40.0,2641,99.9999998296
40.0,2671,99.9999998674
40.0,2701,99.9999998987
40.0,2731,99.9999999242
40.0,2761,99.9999999452
40.0,2791,99.9999999619
40.0,2821,99.9999999753
40.0,2851,99.9999999850
40.0,2881,99.9999999915
40.0,2911,99.9999999955
40.0,2941,99.9999999980
40.0,2971,99.9999999995
40.0,3001,100.0000000000
40.0,3003,100.0000000000
50.0,1,93.4535075436
50.0,31,99.4864040839
50.0,61,99.8325856709
50.0,91,99.9246382972
50.0,121,99.9575908341
50.0,151,99.9738801524
50.0,181,99.9811665737
50.0,211,99.9853982687
50.0,241,99.9883992330
50.0,271,99.9906145109
50.0,301,99.9922283909
50.0,331,99.9934721782
50.0,361,99.9944699021
50.0,391,99.9952983113
50.0,421,99.9960172400
50.0,451,99.9966244613
50.0,481,99.9971178666
50.0,511,99.9975220147
50.0,541,99.9978604760
50.0,571,99.9981548132
50.0,601,99.9984062538
50.0,631,99.9986160786
50.0,661,99.9987905367
50.0,691,99.9989369263
50.0,721,99.9990643285
50.0,751,99.9991690836
50.0,781,99.9992582216
50.0,811,99.9993362868
50.0,841,99.9994052537
50.0,871,99.9994655266
50.0,901,99.9995192112
50.0,931,99.9995679753
50.0,961,99.9996116118
50.0,991,99.9996510316
50.0,1021,99.9996860537
50.0,1051,99.9997177090
50.0,1081,99.9997463137
50.0,1111,99.9997721823
50.0,1141,99.9997955789
50.0,1171,99.9998164553
50.0,1201,99.9998353179
50.0,1231,99.9998524682
50.0,1261,99.9998677131
50.0,1291,99.9998816521
50.0,1321,99.9998945073
50.0,1351,99.9999059455
50.0,1381,99.9999161540
50.0,1411,99.9999250810
50.0,1441,99.9999330599
50.0,1471,99.9999402766
50.0,1501,99.9999469225
50.0,1531,99.9999528705
