R_angstrom,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
3.9,Q1,-157.0000840207,-157.0000840201,-157.0000754896,0.0000,0.0085,3.750000,3.750000,3.749996
3.9,D2,-156.9784451155,-156.9784451146,-156.9784351856,0.0000,0.0099,0.750000,0.750000,0.750010
4.0,D0,-156.9999721112,-156.9999708699,-156.9999655644,0.0012,0.0065,0.750000,0.750008,0.750336
4.0,D1,-156.9786800382,-156.9786793721,-156.9786772164,0.0007,0.0028,0.750000,0.750001,0.750004
4.0,Q1,-157.0002402524,-157.0002394046,-157.0002358759,0.0008,0.0044,3.750000,3.749993,3.749672
4.0,D2,-156.9786418104,-156.9786412815,-156.9786390565,0.0005,0.0028,0.750000,0.750001,0.750003
4.1,D0,-157.0001110158,-157.0001099196,-157.0001049876,0.0011,0.0060,0.750000,0.750009,0.750439
4.1,D1,-156.9787926365,-156.9787920622,-156.9787902671,0.0006,0.0024,0.750000,0.750001,0.750003
4.1,Q1,-157.0003396089,-157.0003388634,-157.0003356970,0.0007,0.0039,3.750000,3.749992,3.749567
4.1,D2,-156.9787787700,-156.9787783098,-156.9787763743,0.0005,0.0024,0.750000,0.750000,0.750002
4.2,D0,-157.0001950735,-157.0001940778,-157.0001892671,0.0010,0.0058,0.750000,0.750011,0.750389
4.2,D1,-156.9788625051,-156.9788620812,-156.9788596198,0.0004,0.0029,0.750000,0.750000,0.750003
4.2,Q1,-157.0003890266,-157.0003883492,-157.0003849094,0.0007,0.0041,3.750000,3.749990,3.749618
4.2,D2,-156.9788541179,-156.9788536013,-156.9788511763,0.0005,0.0029,0.750000,0.750001,0.750004
4.3,D0,-157.0002325829,-157.0002316551,-157.0002271933,0.0009,0.0054,0.750000,0.750013,0.750586
4.3,D1,-156.9789007639,-156.9789003526,-156.9788983795,0.0004,0.0024,0.750000,0.750000,0.750002
4.3,Q1,-157.0003965769,-157.0003959429,-157.0003929452,0.0006,0.0036,3.750000,3.749987,3.749420
4.3,D2,-156.9788725308,-156.9788720469,-156.9788701842,0.0005,0.0023,0.750000,0.750001,0.750003
4.4,D0,-157.0002326150,-157.0002317331,-157.0002276187,0.0009,0.0050,0.750000,0.750017,0.750816
4.4,D1,-156.9789021336,-156.9789017189,-156.9789001652,0.0004,0.0020,0.750000,0.750000,0.750002
4.4,Q1,-157.0003709789,-157.0003703714,-157.0003677366,0.0006,0.0032,3.750000,3.749984,3.749190
4.4,D2,-156.9788566019,-156.9788561337,-156.9788546642,0.0005,0.0019,0.750000,0.750001,0.750002
4.5,D0,-157.0002043660,-157.0002035162,-157.0001998490,0.0008,0.0045,0.750000,0.750022,0.750862
4.5,D1,-156.9788754668,-156.9788750394,-156.9788735973,0.0004,0.0019,0.750000,0.750000,0.750002
4.5,Q1,-157.0003210002,-157.0003204088,-157.0003180066,0.0006,0.0030,3.750000,3.749979,3.749143
4.5,D2,-156.9788151447,-156.9788146816,-156.9788132686,0.0005,0.0019,0.750000,0.750001,0.750002
4.6,D0,-157.0001565624,-157.0001557367,-157.0001529492,0.0008,0.0036,0.750000,0.750028,0.751032
4.6,D1,-156.9788293047,-156.9788288606,-156.9788283288,0.0004,0.0010,0.750000,0.750000,0.750001
4.6,Q1,-157.0002549041,-157.0002543230,-157.0002526842,0.0006,0.0022,3.750000,3.749972,3.748972
4.6,D2,-156.9787565038,-156.9787560406,-156.9787555065,0.0005,0.0010,0.750000,0.750001,0.750001
4.7,D0,-157.0000970530,-157.0000962480,-157.0000937391,0.0008,0.0033,0.750000,0.750037,0.751227
4.7,D1,-156.9787714475,-156.9787709867,-156.9787705457,0.0005,0.0009,0.750000,0.750000,0.750001
4.7,Q1,-157.0001800754,-157.0001795027,-157.0001780495,0.0006,0.0020,3.750000,3.749964,3.748777
4.7,D2,-156.9786881740,-156.9786877089,-156.9786872727,0.0005,0.0009,0.750000,0.750001,0.750001
4.8,D0,-157.0000325476,-157.0000317626,-157.0000295207,0.0008,0.0030,0.750000,0.750048,0.751458
4.8,D1,-156.9787086519,-156.9787081772,-156.9787078446,0.0005,0.0008,0.750000,0.750000,0.750001
4.8,Q1,-157.0001027830,-157.0001022187,-157.0001009498,0.0006,0.0018,3.750000,3.749953,3.748545
4.8,D2,-156.9786165511,-156.9786160850,-156.9786157526,0.0005,0.0008,0.750000,0.750001,0.750001
4.9,D0,-156.9999684598,-156.9999676957,-156.9999656967,0.0008,0.0028,0.750000,0.750061,0.751730
4.9,D1,-156.9786464349,-156.9786459504,-156.9786457107,0.0005,0.0007,0.750000,0.750000,0.750001
4.9,Q1,-157.0000280378,-157.0000274835,-157.0000263838,0.0006,0.0017,3.750000,3.749939,3.748273
4.9,D2,-156.9785467798,-156.9785463149,-156.9785460778,0.0005,0.0007,0.750000,0.750001,0.750001
5.0,D0,-156.9999089030,-156.9999087805,-156.9999064480,0.0001,0.0025,0.750000,0.750031,0.751376
5.0,D1,-156.9785890320,-156.9785887556,-156.9785881527,0.0003,0.0009,0.750000,0.750000,0.750001
5.0,Q1,-156.9999595971,-156.9999593604,-156.9999579802,0.0002,0.0016,3.750000,3.749969,3.748627
5.0,D2,-156.9784827477,-156.9784824106,-156.9784818607,0.0003,0.0009,0.750000,0.750001,0.750001
