R_angstrom,method,orbital_index,occupation
2.4,ref,2,1.99911677
2.4,ref,3,1.99510242
2.4,ref,4,1.99501666
2.4,ref,5,1.98901191
2.4,ref,6,1.00760805
2.4,ref,7,0.00698930
2.4,ref,8,0.00384060
2.4,ref,9,0.00341267
2.4,ref,10,0.00063979
2.4,ref,11,0.00007776
2.4,ref,12,0.00000904
2.4,ref,13,0.00000106
2.4,ext,0,1.99995042
2.4,ext,1,1.99922860
2.4,ext,2,1.99911772
2.4,ext,3,1.99510863
2.4,ext,4,1.99502432
2.4,ext,5,1.98902143
2.4,ext,6,1.00759856
2.4,ext,7,0.00697850
2.4,ext,8,0.00383365
2.4,ext,9,0.00341262
2.4,ext,10,0.00063668
2.4,ext,11,0.00007820
2.4,ext,12,0.00000904
2.4,ext,13,0.00000163
2.4,cipsi,0,1.99995062
2.4,cipsi,1,1.99922862
2.4,cipsi,2,1.99911436
2.4,cipsi,3,1.99510776
2.4,cipsi,4,1.99502865
2.4,cipsi,5,1.98902146
2.4,cipsi,6,1.00760237
2.4,cipsi,7,0.00698411
2.4,cipsi,8,0.00383061
2.4,cipsi,9,0.00340857
2.4,cipsi,10,0.00063378
2.4,cipsi,11,0.00007822
2.4,cipsi,12,0.00000913
2.4,cipsi,13,0.00000176
2.5,ref,0,1.99995446
2.5,ref,1,1.99921589
2.5,ref,2,1.99921524
2.5,ref,3,1.99481841
2.5,ref,4,1.99407465
2.5,ref,5,1.98838487
2.5,ref,6,1.00839554
2.5,ref,7,0.00730798
2.5,ref,8,0.00474583
2.5,ref,9,0.00324756
2.5,ref,10,0.00055749
2.5,ref,11,0.00007309
2.5,ref,12,0.00000784
2.5,ref,13,0.00000115
2.5,ext,0,1.99995438
2.5,ext,1,1.99922122
2.5,ext,2,1.99921704
2.5,ext,3,1.99482607
2.5,ext,4,1.99408400
2.5,ext,5,1.98839624
2.5,ext,6,1.00838421
2.5,ext,7,0.00729454
2.5,ext,8,0.00473740
2.5,ext,9,0.00324751
2.5,ext,10,0.00055423
2.5,ext,11,0.00007353
2.5,ext,12,0.00000784
2.5,ext,13,0.00000178
2.5,cipsi,0,1.99995456
2.5,cipsi,1,1.99922016
2.5,cipsi,2,1.99921437
2.5,cipsi,3,1.99482405
2.5,cipsi,4,1.99408630
2.5,cipsi,5,1.98839533
2.5,cipsi,6,1.00838927
2.5,cipsi,7,0.00730316
2.5,cipsi,8,0.00473491
2.5,cipsi,9,0.00324304
2.5,cipsi,10,0.00055166
2.5,cipsi,11,0.00007340
2.5,cipsi,12,0.00000801
2.5,cipsi,13,0.00000178
2.6,ref,0,1.99995797
2.6,ref,1,1.99930950
2.6,ref,2,1.99921376
2.6,ref,3,1.99447123
2.6,ref,4,1.99290219
2.6,ref,5,1.98752727
2.6,ref,6,1.00939229
2.6,ref,7,0.00770829
2.6,ref,8,0.00585197
2.6,ref,9,0.00310514
2.6,ref,10,0.00048339
2.6,ref,11,0.00006889
2.6,ref,12,0.00000675
2.6,ref,13,0.00000136
2.6,ext,0,1.99995789
2.6,ext,1,1.99931082
2.6,ext,2,1.99922073
2.6,ext,3,1.99448065
2.6,ext,4,1.99291362
2.6,ext,5,1.98754076
2.6,ext,6,1.00937885
2.6,ext,7,0.00769163
2.6,ext,8,0.00584185
2.6,ext,9,0.00310509
2.6,ext,10,0.00047999
2.6,ext,11,0.00006932
2.6,ext,12,0.00000675
2.6,ext,13,0.00000205
2.6,cipsi,0,1.99995806
2.6,cipsi,1,1.99930285
2.6,cipsi,2,1.99921529
2.6,cipsi,3,1.99447388
2.6,cipsi,4,1.99291535
2.6,cipsi,5,1.98753662
2.6,cipsi,6,1.00939078
2.6,cipsi,7,0.00770295
2.6,cipsi,8,0.00584722
2.6,cipsi,9,0.00309708
2.6,cipsi,10,0.00048282
2.6,cipsi,11,0.00006882
2.6,cipsi,12,0.00000683
2.6,cipsi,13,0.00000144
2.7,ref,0,1.99996110
2.7,ref,1,1.99939243
2.7,ref,2,1.99921896
2.7,ref,3,1.99405740
2.7,ref,4,1.99150375
2.7,ref,5,1.98644316
2.7,ref,6,1.01059792
2.7,ref,7,0.00820484
2.7,ref,8,0.00714546
2.7,ref,9,0.00298149
2.7,ref,10,0.00042096
2.7,ref,11,0.00006500
2.7,ref,12,0.00000579
2.7,ref,13,0.00000174
2.7,ext,0,1.99996102
2.7,ext,1,1.99939389
2.7,ext,2,1.99922701
2.7,ext,3,1.99406901
2.7,ext,4,1.99151789
2.7,ext,5,1.98645920
2.7,ext,6,1.01058195
2.7,ext,7,0.00818414
2.7,ext,8,0.00713339
2.7,ext,9,0.00298143
2.7,ext,10,0.00041741
2.7,ext,11,0.00006541
2.7,ext,12,0.00000579
2.7,ext,13,0.00000246
2.7,cipsi,0,1.99996121
2.7,cipsi,1,1.99938682
2.7,cipsi,2,1.99922023
2.7,cipsi,3,1.99406006
2.7,cipsi,4,1.99151550
2.7,cipsi,5,1.98645170
2.7,cipsi,6,1.01059639
2.7,cipsi,7,0.00820000
2.7,cipsi,8,0.00714081
2.7,cipsi,9,0.00297436
2.7,cipsi,10,0.00042042
2.7,cipsi,11,0.00006490
2.7,cipsi,12,0.00000580
2.7,cipsi,13,0.00000180
2.8,ref,0,1.99996394
2.8,ref,1,1.99946235
2.8,ref,2,1.99922961
2.8,ref,3,1.99357638
2.8,ref,4,1.98990676
2.8,ref,5,1.98516206
2.8,ref,6,1.01198646
2.8,ref,7,0.00881536
2.8,ref,8,0.00858481
2.8,ref,9,0.00287281
2.8,ref,10,0.00037097
2.8,ref,11,0.00006126
2.8,ref,12,0.00000494
2.8,ref,13,0.00000230
2.8,ext,0,1.99996256
2.8,ext,1,1.99946271
2.8,ext,2,1.99923210
2.8,ext,3,1.99358220
2.8,ext,4,1.98991123
2.8,ext,5,1.98516620
2.8,ext,6,1.01198243
2.8,ext,7,0.00880762
2.8,ext,8,0.00858064
2.8,ext,9,0.00287267
2.8,ext,10,0.00037025
2.8,ext,11,0.00006184
2.8,ext,12,0.00000494
2.8,ext,13,0.00000261
2.8,cipsi,0,1.99996614
2.8,cipsi,1,1.99946363
2.8,cipsi,2,1.99923267
2.8,cipsi,3,1.99358055
2.8,cipsi,4,1.98991444
2.8,cipsi,5,1.98518262
